Variable,TimeStamp,Value
STARTDATE ,0,201812
NASDAQ,0,6635.277
NASDAQ,1Q,4079.16235
NASDAQ,2Q,3242.20947
NASDAQ,3Q,2920.154
NASDAQ,4Q,2857.04346
NASDAQ,5Q,3097.10645
NASDAQ,6Q,3436.86938
NASDAQ,7Q,3802.58032
NASDAQ,8Q,4274.028
NASDAQ,9Q,4597.323
SP500,0,2506.85
SP500,1Q,1738.116
SP500,2Q,1431.939
SP500,3Q,1297.76
SP500,4Q,1253.43
SP500,5Q,1311.851
SP500,6Q,1405.325
SP500,7Q,1508.427
SP500,8Q,1641.699
SP500,9Q,1733.478
LIBOR3M,0,2.80763
LIBOR3M,1Q,2.01728678
LIBOR3M,2Q,1.66169429
LIBOR3M,3Q,1.48256445
LIBOR3M,4Q,0.9576234
LIBOR3M,5Q,0.7057523
LIBOR3M,6Q,0.587027133
LIBOR3M,7Q,0.532494843
LIBOR3M,8Q,0.505336463
LIBOR3M,9Q,0.4978214
CPI,0,252.7414
CPI,1Q,253.4962
CPI,2Q,254.5042
CPI,3Q,255.579
CPI,4Q,256.7214
CPI,5Q,257.9323
CPI,6Q,259.0852
CPI,7Q,260.371
CPI,8Q,261.6632
CPI,9Q,263.0263
HPI,0,265.709
HPI,1Q,260.6752
HPI,2Q,254.81636
HPI,3Q,248.8919
HPI,4Q,241.541611
HPI,5Q,234.567917
HPI,6Q,227.914642
HPI,7Q,221.382645
HPI,8Q,217.614014
HPI,9Q,216.362762
CDS5Y,0,10.39
CDS5Y,1Q,44.93525
CDS5Y,2Q,47.8014336
CDS5Y,3Q,40.4046478
CDS5Y,4Q,36.8740654
CDS5Y,5Q,31.219265
CDS5Y,6Q,26.1906815
CDS5Y,7Q,22.4667187
CDS5Y,8Q,19.217617
CDS5Y,9Q,18.0219975
